review_id,stars,text,Food Quality,Customer Service,Place,Menu_and_Pricing,Drinks,Time
hRMj3I4fi0nu_lG3y6M4iw,4,"CORN BREAD!!!!!!  For years now I have been complaining about how bad the cornbread in Nashville is.  Not really corn bread at all.  The corn bread at this place is bananas.  Well, not really of course, but it's really good.  How many times can I use the word ""really"" in a review?  Let's find out.

So the BBQ here is really (1) good also.  In fact, it is really (2), truly the best I have had in Nashville.  While I really (3) have been wanting to get down to Memphis and try what they are famous for, it really (4) hasn't been in the cards.

I had the pork sandwich with a side of really (5) good grits and green beans.  We also had some smoked chicken wings.  So good.  

In short you really (6) out to try this place.  It is really (7), really (8) good.  So very impressed.",1.0,0.0,1.0,0.0,0.0,0.0
FX8R25gZHQKlY7qI4MsuaQ,4,"I love St. Joseph's Brewery. I love the atmosphere. I love the beers. I love the staff. And I love the patios. Heck, I even love the DIY bloody mary bar that they offer up for Sunday brunch, even though I haven't tried it out yet.   I love bringing out of town guests here because I love showing off St. Joseph's to them. It's such a great place to order a few beers and catch up, no matter if you're sitting inside or out. 
But what's a girl got to do to get a few decent vegetarian plates on the menu? Folks rave on and on about how delicious all the food is here. I'd love to try it out for myself. The only plate that's vegetarian is the house salad. Don't get me wrong--it's delicious. But come on. It's 2020. Let's expand that menu to include some vegetarian plates!",1.0,1.0,1.0,-1.0,1.0,0.0
Qq6prTE3lw7I6Bdzpg72RQ,5,Yum yum yum.  That's what my teenage children said.   Very enjoyable.  From French press coffee - reasonable prices.  And very tasty brunch.  The crepes were excellent.  Breakfast burrito filled my teenage son up - which is hard to do.   Will definitely come back again when visiting the area.,1.0,0.0,0.0,1.0,1.0,0.0
JeWW0tED04GMA6hs-CaTYA,5,Went there with my friend just to grab dinner. Our waiter Casey was amazing. He was super sweet with awesome recommendations.,0.0,1.0,0.0,0.0,0.0,0.0
0V5_dTIpOjnxeAgPd3Qo7Q,5,"Perfect place to relax and grab a drink. It never seems to get too packed when my friends and I are there. Also, the service is very prompt. I would recommend this place to anyone that is looking for a place to get away without going to far off the beaten path.",0.0,1.0,1.0,0.0,1.0,0.0
BcfRPvN5unPSMnQxlwBvng,4,"Excellent food and service.

I've been here twice, and I've been pleased thus far.  The pulled pork BBQ sandwich with mango BBQ sauce is excellent, and the grilled meatloaf is to die for.  If you like meatloaf as much as I do, then you know how hard it is to find a place that serves it up properly.  In my opinion, this might be the best meatloaf I've ever eaten.

Also, the appetizers are simply amazing.  I always thought that The Conch House over in St. Augustine has this recipe on hemlock, but they have some serious competition at Rumba.  In fact, I'd say that Rumba's are better.  But don't sleep on the jerky wings appetizer because you like conch fritters.  You absolutely have to try these wings.  

As for desserts, I like the key lime pie a lot, but last night my bro ordered a rum cake and all I can say is ""wow.""

Prices are moderate ($80 for 4 adults, 2 appetizers, 2 desserts, no alcohol) and the staff is fast and friendly.  I will definitely be back for a 3rd visit soon.",1.0,1.0,0.0,0.0,0.0,0.0
S6E-7EK0V_c1uOBXnGKq4Q,1,"Just stopped in to check out main restaurant after going to smaller one to see if we might want to come back for dinner. Front end guy just turned and walked away without saying s word when we told him what we were doing. 

You might have best food, although the crab cakes were terrible at other store. Your customer service needs serious help. 

Maybe your accolades went to your head... You can lose it just as fast as you received them.

We will not be coming for dinner nor refer this place to anyone.",1.0,-1.0,0.0,0.0,0.0,0.0
eOXLOaw6GVLQRqo8HHtBQQ,5,Love the food.  I've had the crab boil twice.  Well worth the money.  Spices are on point and it's a fun meal.,1.0,0.0,0.0,1.0,0.0,0.0
J4QwFki5edFuvnayOVCzug,4,The food the price and the service are hard to knock. Not top end sushi you'll find in LA or SF but for the budget minded sushi roll eater this place is hard to beat. I like the Yoshi Roll and the Oceano roll. Try the upside down shrimp as well. Anyone who complains about his place is looking for a Roll Royce for the price of a VW. Drinks and dessert are included so come there hungry.,1.0,0.0,0.0,1.0,0.0,0.0
ylVJjPsAWprr8DK03WtIiQ,3,"I am still not a fan of reusing Heinz ketchup bottles, I was uplifted by the service recently.  I have always liked the food but, many times in the past I have encountered snarky waiters and an inability to render any civilities at all.  The other day the staff was on top of their game, and used niceties such as please and thank you, excuse me, things that one expects from a good business.  The food was excellent, I will be back.",1.0,0.0,0.0,0.0,0.0,0.0
L8j6qfS3NJ50goQCG3SAjg,2,"First off, their WEBSITE is way old and the menu is way outdated. They do not serve any of the steaks or chicken dishes as listed on their web menus anymore. No more primerib for $14.99 folks, they don't even have it. I spoke to the manager and she told me that the guy that designed their site took the password and his talents as a  webmaster with him. They've been unable to hire anyone to fix the website and menus. Travelling through Boise and eat here AND want to use the KopperRest WIFI you will see on your wifi list, OOPS, they don't know how to fix that either and blamed it being plugged in and sort of working, but non-connectable, to the same webmaster that walked away years ago.
So, the food was very average, maybe a tiny bit better than Denny's across the street. 
1- get your website back, it's not difficult. You can verify who you are and get the domain and hosting released to your care
2- fix your wifi or unplug the router.
3- Tell your waitresses to actually try the items on the menu. Our waitress was a uneducated person when it came to Kopper's own menu. I asked her how long she'd been there, she said a few years, but she couldn't recommend even a dressing for the salad.
4- It reminds me of a truck stop café, wasn't overlay impressed with the service or the food. They DO have daily specials and the all you can eat shrimp looked great, my fellow diners liked them.
5- Ask your customers if they have any coupons or local motel discounts.",0.0,-1.0,0.0,-1.0,0.0,0.0
0J2UZ0MA44jy4rBQLdSHlQ,5,"we had a wonderful meal here very recently with lovely friends from nyc.  They are used to the best, so we brought them to the best!

we had all the classic greek appetizers, saganaki, oktopothi (octopus) and kalamarakia (squid), which were superb, but the great thing here is the fresh fish.

Special note;  they have a terrific extensive raw bar of oysters here!  it is superb.  My wife rated them 10/10.  Philly has some fine oyster spots, but they are all in the city, eg the Palm, et al.  This is really the only suburban spot we've been to with a great raw oyster bar. 

they keep fresh fish/catch of the day on ice, which the waiter brings to your table and displays!

This is great.  my wife and i had a greek fish called fagri that was amazing--we split it and it was very filling!!! and entire fish with the head, plus greens & sides.  Beautiful and delicious.  

Our kids and friends ordered equally great entrees, fish and meats--the lamb and meat dishes are terrific.

They have a good dessert menu and greek coffee.  

One caveat;  its expensive here.  $$$$.  But this is the very high end greek dining experience (short of going to nyc or Astoria or chicago or Greece) you've been craving.",1.0,0.0,0.0,-1.0,0.0,0.0
26U641_b4CNe_D0frHnB1g,3,"The ordering system is confusing.  You have to place your order with the hostess.  It was crowded as we walked in because people were ordering right by the door.  Instead, we headed to the bar.  It was much better choice, in my opinion. 

The chicken sandwich -Roasted chicken , avocado, Swiss cheese, chipotle mayo. It sounds simple but it was delicious.  But, I actually liked my salad much much more.  It was crispy, savory, a bit sweet. 

Anyways, prepare to spend $. Overall, it was a good experience. 3 something stars.",1.0,0.0,0.0,-1.0,0.0,0.0
oa-9hlkg8DOPTiFFeH_s2A,3,"I'll have to try this place again. The ambiance is nice and trendy, and the service was good, just a little slow on a very slow Tuesday. I had the pad thai and my date had the thai-tantic. He loved his dish and the sauce it came with. I thought the pad thai was ordinary, nothing special. Another friend suggested trying the sushi so that's what I'll do next time.",0.0,1.0,1.0,0.0,0.0,0.0
